order_id,fecha_pedido,departamento_destino,zona_logistica,modo_transporte,tipo_envio,distancia_km,tiempo_estimado_dias,tiempo_preparacion_horas,cantidad_productos,peso_kg,prioridad,dia_semana,carga_logistica,entrega_tardia
ORD-10001,2025-02-02,Áncash,Costa Norte,Terrestre,Estándar,415.58,4,8.59,5,3.88,Media,Domingo,Alta,1
ORD-10002,2025-10-10,Lima,Lima y Callao,Terrestre,Express,111.06,2,3.95,6,4.55,Baja,Viernes,Baja,0
ORD-10003,2025-08-27,San Martín,Selva Norte,Terrestre,Estándar,1012.47,6,4.06,4,4.84,Baja,Miércoles,Baja,0
ORD-10004,2025-06-10,Moquegua,Costa Sur,Terrestre,Estándar,1136.4,6,8.84,6,5.26,Alta,Martes,Alta,0
ORD-10005,2025-06-08,Cusco,Sierra Sur,Terrestre,Estándar,1067.75,6,8.17,5,8.29,Media,Domingo,Alta,0
ORD-10006,2025-11-10,Apurímac,Sierra Sur,Terrestre,Estándar,912.93,4,5.22,2,2.27,Baja,Lunes,Alta,0
ORD-10007,2025-02-01,San Martín,Selva Norte,Terrestre,Estándar,1242.57,6,5.26,5,6.06,Media,Sábado,Media,1
ORD-10008,2025-09-12,San Martín,Selva Norte,Terrestre,Estándar,1181.34,6,5.86,5,6.56,Media,Viernes,Baja,0
ORD-10009,2025-03-15,Lima,Lima y Callao,Terrestre,Mismo Día,98.01,1,12.4,9,16.53,Alta,Sábado,Alta,0
ORD-10010,2025-02-04,Lima,Lima y Callao,Terrestre,Estándar,94.0,3,6.86,5,5.0,Media,Martes,Alta,0
ORD-10011,2025-07-12,Lambayeque,Costa Norte,Terrestre,Estándar,793.65,6,7.56,6,3.65,Baja,Sábado,Media,0
ORD-10012,2025-12-23,La Libertad,Costa Norte,Terrestre,Express,617.28,3,6.57,3,2.41,Baja,Martes,Media,0
ORD-10013,2025-09-26,Arequipa,Costa Sur,Terrestre,Express,939.47,3,5.56,3,6.36,Baja,Viernes,Alta,1
ORD-10014,2025-10-05,Arequipa,Costa Sur,Terrestre,Express,1045.42,3,6.73,5,6.82,Media,Domingo,Media,1
ORD-10015,2025-09-19,Callao,Lima y Callao,Terrestre,Express,49.58,2,4.03,1,1.19,Media,Viernes,Alta,1
ORD-10016,2025-10-14,Pasco,Sierra Centro,Terrestre,Express,343.65,2,10.09,9,10.92,Media,Martes,Media,0
ORD-10017,2025-07-07,Ayacucho,Sierra Sur,Terrestre,Estándar,681.45,5,8.51,6,6.48,Media,Lunes,Media,0
ORD-10018,2025-02-16,Callao,Lima y Callao,Terrestre,Express,47.31,2,5.9,3,5.2,Media,Domingo,Media,1
ORD-10019,2025-11-03,Lima,Lima y Callao,Terrestre,Express,73.3,2,5.59,4,5.59,Baja,Lunes,Media,0
ORD-10020,2025-06-14,Callao,Lima y Callao,Terrestre,Mismo Día,11.82,1,4.23,3,3.55,Baja,Sábado,Alta,0
ORD-10021,2025-07-02,Cajamarca,Sierra Norte,Terrestre,Estándar,797.29,6,6.63,3,5.3,Media,Miércoles,Alta,1
ORD-10022,2025-05-16,Lima,Lima y Callao,Terrestre,Estándar,72.27,3,10.38,7,13.94,Media,Viernes,Alta,0
ORD-10023,2025-03-08,Junín,Sierra Centro,Terrestre,Express,360.36,2,1.63,3,2.21,Alta,Sábado,Media,0
ORD-10024,2025-12-05,Lima,Lima y Callao,Terrestre,Express,51.33,2,7.83,6,4.74,Baja,Viernes,Media,0
ORD-10025,2025-10-13,Puno,Sierra Sur,Terrestre,Estándar,1298.7,8,11.01,7,23.75,Media,Lunes,Media,1
ORD-10026,2025-08-24,Cajamarca,Sierra Norte,Aéreo,Express,843.28,3,5.56,4,6.59,Baja,Domingo,Media,0
ORD-10027,2025-05-27,Puno,Sierra Sur,Terrestre,Estándar,1425.12,7,9.65,6,15.01,Media,Martes,Alta,1
ORD-10028,2025-10-28,Puno,Sierra Sur,Aéreo,Estándar,1422.52,7,6.89,4,7.06,Baja,Martes,Alta,1
ORD-10029,2025-07-19,Moquegua,Costa Sur,Terrestre,Estándar,1130.21,7,9.31,5,6.78,Media,Sábado,Alta,1
ORD-10030,2025-06-11,Lima,Lima y Callao,Terrestre,Estándar,52.09,3,4.99,6,2.68,Baja,Miércoles,Baja,0
ORD-10031,2025-06-14,Lima,Lima y Callao,Terrestre,Estándar,42.77,3,8.58,5,3.45,Baja,Sábado,Alta,0
ORD-10032,2025-03-24,Lima,Lima y Callao,Terrestre,Express,38.48,2,5.15,3,4.9,Media,Lunes,Media,0
ORD-10033,2025-02-03,Lima,Lima y Callao,Terrestre,Express,75.94,2,5.47,4,3.56,Media,Lunes,Media,1
ORD-10034,2025-07-22,Áncash,Costa Norte,Terrestre,Estándar,334.58,4,4.38,1,1.14,Media,Martes,Alta,0
ORD-10035,2025-11-21,Tacna,Costa Sur,Terrestre,Estándar,1293.58,7,7.3,5,8.74,Media,Viernes,Media,0
ORD-10036,2025-01-24,Lima,Lima y Callao,Terrestre,Estándar,153.86,3,4.33,2,2.46,Alta,Viernes,Media,0
ORD-10037,2025-11-10,Lima,Lima y Callao,Terrestre,Estándar,86.47,4,11.63,9,12.73,Baja,Lunes,Media,1
ORD-10038,2025-10-30,Junín,Sierra Centro,Terrestre,Express,419.82,2,4.29,3,6.36,Media,Jueves,Baja,0
ORD-10039,2025-04-12,Áncash,Costa Norte,Terrestre,Express,358.25,2,10.01,7,15.72,Alta,Sábado,Media,0
ORD-10040,2025-08-19,Lima,Lima y Callao,Terrestre,Mismo Día,63.72,1,2.49,2,2.69,Media,Martes,Baja,0
ORD-10041,2025-03-02,Lima,Lima y Callao,Terrestre,Estándar,149.19,4,10.6,8,16.98,Media,Domingo,Media,0
ORD-10042,2025-10-04,La Libertad,Costa Norte,Aéreo,Express,600.27,3,4.14,3,2.6,Media,Sábado,Media,0
ORD-10043,2025-09-13,Ica,Costa Sur,Terrestre,Estándar,307.75,3,7.12,6,7.93,Baja,Sábado,Media,0
